Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,average_salalry,comapny_text,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority
Care Coordinator,£23K-£50K (Glassdoor est.),"Altogether Care are looking for a Care Coordinator to work along side our community care team in the Weymouth area.
You will need a car for work purposes for this role.
What hours am I expected to work?
40 hours per week plus overtime
Evenings will be required when needed to meet the demands of the service.
Weekend Working
Every other weekend
What will YOU be doing?
Organising staff rotas
Building relationships with care staff and clients.
Providing personal care and support within our clients homes in the local community
Supporting the on-call service on a rota basis
What do YOU need?
At least 12-18 months care experience
A can-do attitude, caring and reliable nature
Excellent communication
Be able to develop and maintain good working relationships with colleagues, clients and their families
OUR Commitment to YOU
Tax-free competitive mileage allowance and monthly bonuses
Paid training induction and shadowing period
Two year Blue Light card membership and recommend a friend scheme
Career progression and promotions from within
Employee referral scheme
Job Types: Full-time, Permanent
Salary: £10.75 per hour
Additional pay:
Bonus scheme
Benefits:
Employee discount
Flexible schedule
Free or subsidised travel
On-site parking
Referral programme
Store discounts
Schedule:
Monday to Friday
Overtime
Weekends
Experience:
Care: 1 year (Required)
Licence:
Driving (Required)
Work remotely:
No",3.7,"Altogether Care
3.7","Weymouth, England",-1,201 to 500 Employees,-1,Company - Private,-1,-1,$10 to $25 million (USD),-1,23,50,36.5,Altogether Care,Weymouth,-1,0,0,0,0,1,na,na
Care Assistant,£20K-£29K (Glassdoor est.),"Care Assistant - Tallington Lodge Care Home in Tallington Near Stamford part of the Country Court Family

Hours: Day Shifts 33 Hours per week, working weekends on rota
We are currently looking to grow our already established and dedicated team of care assistants at Tallington Lodge Care Home.

Sympathetically refurbished and extended using traditional local stone Tallington Lodge is an integral part of the community in the pretty village of Tallington in Lincolnshire. Led by Manju the Manager, the staff create a safe and warm friendly atmosphere.

JOINING THE COUNTRY COURT CARE FAMILY
We’re proud to be a family run business that’s grown over the years to a family of over 2000 employees and 33 care homes. We’re passionate about providing 5* care to our residents. From bistros to pubs and cinema rooms to spas – we’ve created extraordinary care homes so we’re looking for extraordinary people to join our team!
ABOUT THE CARE ASSISTANT ROLE
Within your role, you can really make a difference to our residents’ lives. Your responsibilities will include:
Helping our residents with personal support and care
Aiding their emotional well-being and social needs
Serving meals/drinks and assisted feeding
Interacting with our residents on a personal level
Maintaining care plans
ABOUT YOU
We want someone proactive, passionate, and ambitious to support us to create the best person-centred environment for our residents. You’ll be genuinely valued and empowered as an integral part of our team
Experience in the care industry is preferred but not essential
Have a friendly & caring attitude
Able to engage well with the residents and their families
NVQ Level 2 in Health & Social care or willing to work towards this
And in return you'll get!
You’ll be joining a family business and working alongside a real team-spirited group of people. You’ll also benefit from our generous range of benefits which include:
28 days holiday (FTE) (including bank holidays)
Great pay (plus annual pay reviews!)
Exciting opportunities for career progression (and we have lots of staff who can tell you about their progression!)
Enhanced Bank Holiday rates at Christmas and New Year at Double time, all other bank holiday paid at Time and a Half
Work Life Balance and the ability in some roles to choose shifts to suit you
Supportive and bespoke Induction Training Programmes, ongoing training and development and nationally recognised qualifications*
Paid online learning time
Refer a friend or resident bonus scheme*
Pension contributions
Free parking
Free Uniform
An excellent range of discounts for restaurants, shops, cinemas, days out and more!
Annual Staff Awards Programme across all our Homes celebrating our great staff
Opportunity to work in beautifully appointed interior designed homes
Opportunity to work for an award-winning Care Home provider
Subject to Terms and Conditions
Due to the nature of the role, you will need to pay £26.00 towards the cost of an enhanced Disclosure & Barring Service (DBS) check, prior to starting with us.
Apply now: We’d love to hear from you and can offer same day job offers*
Country Court Care is an equal opportunities employer.
Please ask to see our equal opportunities policy for further information.",4.5,"Country Court
4.5","Tallington, England",-1,1001 to 5000 Employees,1983,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,20,29,24.5,Country Court,Tallington,37,0,0,0,0,1,na,na
Team Leader,£19K-£24K (Glassdoor est.),"Fox Elms DCA
Hours are 37.5
Pay Rate £10.00 ph
About this role –
We are looking for genuinely caring, hands-on individual to join our Tredworth, Gloucester team.
Closely supporting our Branch Manager, our Team Leaders are responsible for promoting, managing and co-ordinating care plans, and you’ll play a central role in team leadership. From allocating shifts and training days to overseeing recruitment and induction, you will be central to service delivery and you’ll take a hands-on approach to care management too.
Experienced in senior positions within a relevant care setting you’ll be familiar with appropriate regulations and legislation, skilled in budgeting and administration, and you’ll be ready for early responsibility. In return we’ll support you to work towards a relevant Care and Management qualification.
Reference ID: 025720
Job Types: Full-time, Permanent
Salary: £10.00 per hour
Benefits:
Casual dress
Gym membership
Life insurance
COVID-19 considerations:
COVID19 safety is important to us all, we support our staff and the people we support to stay safe by wearing correct PPE, including Type IIR Fluid Resistant Surgical Masks (FRSM), aprons and gloves at all times. We have a an-house team that ensures that
Experience:
health care: 1 year (Required)
Education:
A-Level or equivalent (Required)
Location:
Gloucester, Gloucestershire (Required)
Licence:
Full UK Driving Licence (Required)
Work remotely:
No",3.3,"Voyage Care
3.3","Gloucester, England",-1,5001 to 10000 Employees,1988,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,19,24,21.5,Voyage Care,Gloucester,32,0,0,0,0,0,na,na
Warehouse Operative,£21K-£35K (Glassdoor est.),"Job Ad
Join our team as Warehouse Operatives!
Before talking about the role… you may ask “Just who is VF?”. Well, we are the global company behind some of the world’s leading lifestyle brands, such as Vans, Timberland, The North Face, Napapijri, Eastpak and Kipling. As one of the largest apparel providers in the world, we are passionate about finding great people to join our extended family.
Our new Distribution Centre in Coalville will be opening in the coming months and we’re looking for Warehouse Operatives to join our team in Bardon (Leicestershire).
You will work alone or as part of a team to deliver set performance targets to ensure our logistics operation run smoothly.

What is a Warehouse Operative be responsible for?
We want our customers to be happy when they receive their orders and be ready for a run or a new outfit… this ultimately depends on you!
Your day by day duties will involve:
Receiving, Checking and Sorting Cartons and Pallets either manually or through automated systems
Picking items for orders either through automated goods-to-person stations or manually
Reworking and packing products to the customers’ requirements for our VAS (Value Added Services)
Processing returns ensuring customers items are correctly accounted
How you’ll make a difference?
We expect you to follow all procedures and instructions ensuring Health and Safety standard are met at all times. For this reason, it is important to have a good level of spoken and reading English to interact with Supervisors, DC Trainers and Team Leaders.
You will be precise and handle all goods to the correct quality for our customers. You will make sure all items are counted, checked and processed.
It would be great if you already have experience in a distribution centre, retail or production lines, however we have training in place to help our associates to succeed and improve!
What’s in it for you?

We offer a competitive salary (£9.75 ph), benefits & pension scheme as well as a 50% staff discount on all our brands. However, it’s not just our products that set us apart from others. Our people make us who we are. That’s why, on top of standard benefits, we offer so much more:
A supportive feedback-based culture where respect and integrity guide us in what we do
An inclusive environment where people of diverse backgrounds, lifestyles and nationalities work together and express their true selves
Fantastic health and wellbeing initiatives; we are also a “Time to Change” employer, committing to ending mental health discrimination in the workplace
Great onsite facilities, including a subsidized canteen, gym, plus a wonderful garden to relax in during break times
Excellent family friendly policies to support associates through some of life’s most significant events
At VF, we don’t just make the world’s best apparel and footwear, we power movements of sustainable and active lifestyles for the betterment of people and our planet.

So, if you like what you have read, we would love to hear from you. VF is an Equal Opportunity employer. We’re committed to providing equal opportunities in employment and treating our associates and applicants without any discrimination.",3.7,"VF Corporation
3.7","Bardon Mill, England",-1,10000+ Employees,1889,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),-1,21,35,28.0,VF Corporation,Bardon Mill,131,0,0,0,0,1,na,na
Senior Family Solicitor,£22K-£27K (Glassdoor est.),"Optimal Solicitors are a successful niche Legal Practice based in Manchester. Due to continued growth we are seeking an experienced Senior Family Solicitor to join our established team on a full time, permanent basis.
We are a multi service law firm with a loyal and growing national and international client base.
Our talented family team deals with a high-quality of work dealing solely with a privately funded caseload. The caseload will include but not be limited to; Divorce, pre-nuptial agreements, ancillary relief and private children matters.
Salary will be negotiable dependant on experience. A desire to progress into management or previous management experience would be preferred.
The ideal candidate:
will have at least 3 years PQE - exclusively in Family matters
possess entrepreneurial flair
will have previous experience of private practice in family law
will have a solid understanding of financial remedies
will have experience of working in the areas of Divorce, Financial, Unmarried couples & Property Disputes and Children.
will have experience in advising clients in relation to prenuptial, post nuptial, separation and cohabitation agreements
will be passionate and motivated about Family Law
What We Offer:
Temporarily based remotely due to COVID-19
A combination of home and office based working available
Highly competitive salary
28 days annual leave (including 8 days bank holiday)
Opportunity to accrue up to 4 days additional annual leave
Opportunity to purchase an additional 5 days annual leave
Time off in lieu
Time off for birthday
Flexible working hours
Company events
Job Types: Full-time, Permanent
Salary: £30,000.00-£45,000.00 per year
Benefits:
Additional leave
Casual dress
Company events
Flexible schedule
On-site parking
Referral programme
Work from home
Schedule:
8 hour shift
Day shift
Monday to Friday
Experience:
family law: 2 years (Preferred)
Work remotely:
Temporarily due to COVID-19",4.1,"Optimal Solicitors
4.1","Manchester, England",-1,51 to 200 Employees,2008,Private Practice / Firm,Legal,Accounting & Legal,Unknown / Non-Applicable,-1,22,27,24.5,Optimal Solicitors,Manchester,12,0,0,0,0,0,na,Senior
Night Support Worker-1 year fixed term contract,£22K-£40K (Glassdoor est.),"Job Summary
Night Support Worker, 1 year Fixed Term Contract
Are you considering a new career? Do you want a role that offers a sense of fulfilment and reward? If you answered yes, then we have the perfect opportunity for you!
Chailey Heritage Foundation is a pioneering charity providing education, care and transition planning for young people aged 3-25 with complex physical disabilities and health needs.
Our aim is to provide a stimulating and inclusive environment where all young people are given every opportunity to make progress towards fulfilment and develop life skills in preparation for adulthood.
We are currently recruiting for Night Support Workers to join our residential night teams. In this role you will be working within a dedicated team of staff and will be responsible for providing personalised support to children and young adults with disabilities in our care.
The Night Support Worker role is hugely varied and challenging and no night is the same as such, you will be responsible for a variety of tasks such as:
Eating and drinking – learning how different children and young people can be helped to eat and drink safely.
Medicines – learning how to ensure that the children and young people you work with receive the correct medicine at the right time.
Epilepsy – learning how to safely manage children and young people who have seizures, and what to do in an emergency.
Manual handling – learning to use all sorts of equipment with the children and young people while keeping them and yourself safe.
Intimate care – ensuring that the children and young people’s hygiene needs are taken care of safely and with dignity
Powered mobility – learning to use powered wheelchairs and other equipment safely, and how to encourage the children and young people to learn to drive.
Safeguarding – you will be trained to understand all aspects of safeguarding, with an emphasis on what this means for children and young people with disabilities.
Training and support
For all these duties, and more, you will receive first-class induction and ongoing training from qualified professionals, and you will not be expected to carry them out alone until you have been signed-off as competent. This includes supporting you to achieve a level 3 Diploma as a nationally recognised qualification. You will be assigned a ‘buddy’ to guide you on shift, and a mentor will provide regular meetings to make sure that you are confident in your new role; you will also receive support and guidance from your house manager and senior support workers.
What are we looking for?
Basic knowledge of care
Literacy & Numeracy skills
ICT skills
Communication skills
Flexibility to work as part of a rota
Personality
What we offer
Competitive rates of pay starting from £10.70 per hour rising to £11.65 per hour following successful completion of training, induction and probation
Pension scheme
Generous holiday entitlement
Comprehensive benefits package
Hours of work are 33 hours per week (3 Nights Per Week)
Chailey Heritage Foundation is committed to safeguarding and promoting the welfare of children and young adults; as such an enhanced DBS disclosure is required.
Chailey Heritage Foundation is an equal opportunities employer and is committed to promoting diversity and inclusion for all its young people and staff. We welcome applications from all sections of the community.
As part of our recruitment process, Chailey Heritage Foundation (CHF) collects and processes personal data relating to job applicants. CHF is committed to being transparent about how it collects and uses that data to meet its obligations under GDPR. Please ensure you have reviewed our privacy policy prior to completing an application with us.",4.0,"Chailey Heritage Foundation
4.0","Chailey, England",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,22,40,31.0,Chailey Heritage Foundation,Chailey,-1,0,0,0,0,0,na,na
Warehouse Operative,£17K-£21K (Glassdoor est.),"Syft is the #1 Temporary Staff App and is making waves in the world of work. We help those looking for temp work get jobs by connecting you with the best employers across the industrial sector. With Syft you're in control, managing when and where you work, building a work schedule that suits you. Through the app, you are able to browse jobs near you and get paid weekly directly into your bank account.
We are looking for motivated, hard working individuals to work for an esteemed client in Yate.
Benefits of Syft:
Over £17,000 worth of prizes to be won in this years Christmas Prize draw
Access to a supportive community of like minded individuals
Seasonal incentives, bonuses and giveaways
Monthly personal growth webinars
Referral bonuses
Access to great daily content in our private Facebook group
A dedicated team to support you
Min Salary: Days - £10.08/hr
Hours: M- F 22:00 - 7:00
*Including Holiday Pay
Your duties will include:
Unloading of trailers
Distribution of bulk items
Loading of vehicles
Scanning process
Fast paced and physical work
What we are looking for:
Accuracy.
Prioritizing.
Speed is an essential skill needed when working inside a warehouse.
Own a smartphone to be able to view and book shifts
Must have safety shoes and hi-vis jacket
Punctual, reliable and flexible
Strong attention to detail and good communication
If this sounds like the right opportunity for you - please apply on our website now and book your interview to start working immediately. We look forward to engaging with you soon.
WHOT3
Job Types: Part-time, Temporary
Salary: From £10.08 per hour
Benefits:
Flexible schedule
Schedule:
Monday to Friday
Night shift
Experience:
warehouse: 1 year (Preferred)
Location:
Yate, Gloucestershire (Preferred)
Work remotely:
No",3.9,"Syft
3.9","Yate, England",-1,51 to 200 Employees,2015,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,17,21,19.0,Syft,Yate,5,0,0,0,0,0,na,na
Electrical Design Engineer,£40K-£44K (Glassdoor est.),"Posting Date:
23 November 2020
Location:
Bristol, GB, BS16 1EJ
Company:
Babcock
Electrical Design Engineer x3
Based from Bristol, Plymouth or Rosyth
£35,486 – £45,045 dependent on experience and location
SF32659

About the role

Energy & Marine (E&M) is a business unit within the Marine Division of Babcock International Group. E&M Engineering is a leading design consultancy providing naval architecture, marine, system engineering, electrical engineering design and project support services to the marine and defence markets worldwide. We have vast experience in engineering, construction, concept design and through life support for a wide range of front line naval and auxiliary support vessels.

The Division is expanding rapidly with complex, high-profile defence projects including Type 31 Frigate Design & Build Programme and the Successor Programme, as well as, providing engineering services to the UK Surface Ship and Submarine fleet. Also, with ongoing additional framework agreements, infrastructure projects, export markets and research & development projects. Therefore, we are looking to grow our existing team, building on a well-established foundation of over 700 staff across the UK. We are recruiting staff in all disciplines, to join us at Bristol, Devonport or Rosyth with flexible working arrangements and UK travel to meet project requirements.

As an Electrical Design Engineer, you will be responsible for managing, organising, and ensuring efficient execution of design and support projects for the repair, development and use of Babcock products, throughout their lifecycle, in accordance with Company Procedures and Processes.

You will provide electrical design support by preparing and checking design documentation, reviews, estimates and schedules, also, in support of tender responses requiring design input. You should have the ability to perform system requirements capture, concept design and modelling. Also, the ability to interpret a design requirement into an achievable design solution.

You will assist in the technical aspects of selecting sub-contractors and/or suppliers. Also, you will liaise with the wider project team to resolve issues and manufacturing problems. You will execute duties in accordance with Company procedures for, training, health and safety, personnel, quality and project requirements.

This will be a fantastic opportunity to join a team of like-minded Engineers and support on our high profile projects. As well as working for the UK’s leading naval support business, we will also provide you with all the training, support and benefits that you would expect from a global company.

What do I need to do the role?

Ideally, you will be Degree qualified but HND/HNC level qualification in an engineering discipline with extensive experience in the relevant field will be considered. Ideally, you will be a member of a relevant institution (e.g. RINA, IET, IMechE, IMarEst etc.) and hold Chartered or Incorporated status (or be working towards).

You will have a high level of developed knowledge as the role is directly accountable for design development, and determining solutions to problems and issues within the specialist subject area. You will be required to guide less experienced team members to support both their effective working, and their development. It would be beneficial if you have experience working on UK naval marine shipbuilding projects or defence related design experience but this is not essential.

What else do I need to know?

You will work 36 hours per week Monday to Friday with flexible working and you must be able to achieve the appropriate level of Security Clearance.

About Babcock International

For more than a century, Babcock, the Aerospace and Defence company, has been trusted to deliver bespoke, highly-skilled engineering services. We help customers in the UK and around the world to improve the capability, reliability and availability of their most critical assets within the four market sectors of Marine, Land, Aviation, and Nuclear, underpinned by a deep understanding of technology integration, unique infrastructure and specialist training.

We’re committed to providing a great employee experience in a supportive and engaging environment. The benefits you can expect to enjoy include a generous holiday entitlement, competitive money purchase pension scheme with life assurance and a share ownership scheme. You’ll benefit from excellent career and learning and development opportunities to ensure that you grow and achieve your full potential.

Application Guidance

All applications should be made online. Please use a desktop PC or laptop to create your account and apply for a job. Once you have completed this you will be able to apply to jobs from mobile devices. If you experience difficulties please visit our website. Recruitment correspondence is normally by email so please check your email account and spam folder regularly. We are committed to building an inclusive culture and strives to attract talent who thrive in an inclusive and flexible working environment. If you have a disability or need any reasonable adjustments during the application and selection stages please let us know and will respond in a way that best fits your specific needs.

Please follow the link to find out more about how COVID-19 is impacting Recruitment and On-boarding for applicants.

Armed Forces Covenant

We are proud to support the Armed Forces community by honouring the Armed Forces Covenant. We recognise the value that Serving Personnel, both Regular and Reserves, Veterans, Uniformed Cadet Instructors and Service Families contribute to our business and the United Kingdom. As part of the Covenant, Babcock offers Reservists and Uniformed Cadet Instructors up to 2 week’s special paid leave to help them meet their commitments.

#LI-POST
#ENG2021",3.4,"Babcock
3.4","Bristol, England",-1,10000+ Employees,1891,Company - Public,Architectural & Engineering Services,Business Services,$5 to $10 billion (USD),-1,40,44,42.0,Babcock,Bristol,129,0,0,0,0,1,na,na
Salesforce Developer,£35K-£41K (Glassdoor est.),"Manchester (Behind Victoria train station)
Salary up to £50,000 DOE plus benefits

Job Purpose
Peninsula are hiring a Salesforce Developer to join our established Salesforce team and work on a variety of transformation projects. Your role will manage developing the feature enhancements and maintenance for the company Salesforce orgs.

Job Overview
As a Salesforce Developer within the team you will have an important role in developing customised solutions for our Salesforce orgs. You will work alongside the Technical Lead and Developers as part of an agile team to architect the solutions to continually develop and improve the orgs. The role involves managing your own workload and delivering to a high standard in managed timescales.

The key responsibilities of this job include:
Configuring, developing and supporting the company Salesforce orgs in line with best practices
Being pro-active in suggesting improvements to the configuration of the system, or new tools or ways of working
Assisting with the enhancement of the current configuration and architectural design of the org
Integrating the platform with other systems within our businesses
Working closely with stakeholders to recommend and agree technological solutions to meet business requirements
Working within schedules and deadlines to agreed business priorities
What you Bring to the Team
Salesforce Developer working with Apex and Visualforce experience
Test Driven Development experience
Salesforce lightning framework including the design and implementation of lighting components experience
Salesforce platform and configuration experience
Good understanding of Salesforce coding standards
Integrating business solutions using 3rd party APIs (REST) experience
Experience with third-party applications such as Conga, DocuSign, DupeBlocker etc.
Salesforce Certified Platform Developer credential – Desirable
Knowledge of Agile and SCRUM.
What's on offer...

25 days’ holiday, plus bank holidays.
Flexible working
Day off on your birthday.
Perkbox discounts.
Holidays increase to 27 days after 2 years’ service.
Pension Plan and Life Insurance.
Access to Employee Assistance Programme.
Free breakfast every Monday and social sessions on the last Friday of the month with free food and drink - we call this 'Fun Friday'!
Company incentives, access to discount schemes.
Profit Share Scheme.
If this sounds like the role for you then click apply today!",3.8,"Voyage Care
3.3","Langport, England",-1,1001 to 5000 Employees,1983,Company - Private,Consulting,Business Services,$100 to $500 million (USD),-1,35,41,38.0,Voyage Care,Langport,37,0,0,0,0,0,na,na
Night Support Worker,£29K-£40K (Glassdoor est.),"Job Summary
Are you considering a new career? Do you want a role that offers a sense of fulfilment and reward? If you answered yes, then we have the perfect opportunity for you!
Chailey Heritage Foundation is a pioneering charity providing education, care and transition planning for young people aged 3-25 with complex physical disabilities and health needs.
Our aim is to provide a stimulating and inclusive environment where all young people are given every opportunity to make progress towards fulfilment and develop life skills in preparation for adulthood.
We are currently recruiting for Night Support Workers to join our residential night teams. In this role you will be working within a dedicated team of staff and will be responsible for providing personalised support to children and young adults with disabilities in our care.
The Night Support Worker role is hugely varied and challenging and no night is the same as such, you will be responsible for a variety of tasks such as:
Eating and drinking – learning how different children and young people can be helped to eat and drink safely.
Medicines – learning how to ensure that the children and young people you work with receive the correct medicine at the right time.
Epilepsy – learning how to safely manage children and young people who have seizures, and what to do in an emergency.
Manual handling – learning to use all sorts of equipment with the children and young people while keeping them and yourself safe.
Intimate care – ensuring that the children and young people’s hygiene needs are taken care of safely and with dignity
Powered mobility – learning to use powered wheelchairs and other equipment safely, and how to encourage the children and young people to learn to drive.
Safeguarding – you will be trained to understand all aspects of safeguarding, with an emphasis on what this means for children and young people with disabilities.
Training and support
For all these duties, and more, you will receive first-class induction and ongoing training from qualified professionals, and you will not be expected to carry them out alone until you have been signed-off as competent. This includes supporting you to achieve a level 3 Diploma as a nationally recognised qualification. You will be assigned a ‘buddy’ to guide you on shift, and a mentor will provide regular meetings to make sure that you are confident in your new role; you will also receive support and guidance from your house manager and senior support workers.
What are we looking for?
Basic knowledge of care
Literacy & Numeracy skills
ICT skills
Communication skills
Flexibility to work as part of a rota
Personality
What we offer
Competitive rates of pay starting from £10.70 per hour rising to £11.65 per hour
Pension scheme
Generous holiday entitlement
Comprehensive benefits package
Opportunity to work towards a qualification in Health and Social care
Hours of work are 33 hours per week (3 Nights Per Week)
Chailey Heritage Foundation is committed to safeguarding and promoting the welfare of children and young adults; as such an enhanced DBS disclosure is required.
Chailey Heritage Foundation is an equal opportunities employer and is committed to promoting diversity and inclusion for all its young people and staff. We welcome applications from all sections of the community.
As part of our recruitment process, Chailey Heritage Foundation (CHF) collects and processes personal data relating to job applicants. CHF is committed to being transparent about how it collects and uses that data to meet its obligations under GDPR. Please ensure you have reviewed our privacy policy prior to completing an application with us.",4.0,"Chailey Heritage Foundation
4.0","Chailey, England",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,29,40,34.5,Chailey Heritage Foundation,Chailey,-1,0,0,0,0,0,na,na
